模型名称：DUMP
合约名称：IF1305  
测试时间：2012-05-17 -- 2012-05-18
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：8%
单位：300元/点
手续费：0.06‰
----------------------------------
  测试天数：		1		  测试周期数：	435
  指令总数：		435		  平均交易周期：1
  初始资金：		330000		  最终权益：	279316
  总收益率(盈利/初始资金)：	-15.36%	  盈利：	-50683.59
  扣除最大盈利后收益率：	-16.45%
  扣除最大亏损后收益率：	-14.80%

  可靠性(胜率)：	52.41%		  成交额：	675744000
  期望收益(平均R乘数)：	0.00R		  总手续费：	40545

  总交易次数：		435		
  盈利次数比例：	42.76%		  亏损次数比例：	47.36%
  平均利润率：		-0.04%		  平均每次盈利：	-117
  标准离差率：		-1762.9%		  标准离差：		410.92
  多头次数：		217		  空头次数：		217
  多头盈利次数：	91		  空头盈利次数：	95

  盈利次数：		186		  亏损次数：	206
  总盈利：		55380(16.78%)	  总亏损：	-65519(-19.85%)
  平均盈利率：		321(0.10%)	  平均亏损率：	-342(-0.10%)
  最大盈利额：		3600(1.18%)	  最大亏损额：	-1860(-0.62%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	6		  最大连续亏损次数：	11
  最大连续盈利：	3840(1.26%)	  最大连续亏损：	-3840(-1.21%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型
20120517 14:25	2612.8	多头	20120517 14:26	2611.8	1	94	-300	-394.0	310690.0	正常
20120517 14:26	2611.8	空头	20120517 14:27	2611.0	1	94	240	146.0	310836.0	正常
20120517 14:27	2611.0	多头	20120517 14:28	2611.2	1	94	60	-34.0	310802.0	正常
20120517 14:28	2611.2	空头	20120517 14:29	2611.8	1	94	-180	-274.0	310528.0	正常
20120517 14:29	2611.8	多头	20120517 14:30	2609.2	1	94	-780	-874.0	309654.0	正常
20120517 14:30	2609.2	空头	20120517 14:31	2610.2	1	94	-300	-393.9	309260.1	正常
20120517 14:31	2610.2	多头	20120517 14:32	2610.0	1	94	-60	-153.9	309106.1	正常
20120517 14:32	2610.0	空头	20120517 14:33	2610.2	1	94	-60	-153.9	308952.2	正常
20120517 14:33	2610.2	多头	20120517 14:34	2608.4	1	94	-540	-633.9	308318.3	正常
20120517 14:34	2608.4	空头	20120517 14:35	2610.2	1	94	-540	-633.9	307684.3	正常
20120517 14:35	2610.2	多头	20120517 14:36	2610.4	1	94	60	-34.0	307650.3	正常
20120517 14:36	2610.4	空头	20120517 14:37	2609.2	1	94	360	266.0	307916.3	正常
20120517 14:37	2609.2	多头	20120517 14:38	2609.2	1	94	0	-93.9	307822.4	正常
20120517 14:38	2609.2	空头	20120517 14:39	2608.8	1	94	120	26.0	307848.4	正常
20120517 14:39	2608.8	多头	20120517 14:40	2609.0	1	94	60	-33.9	307814.5	正常
20120517 14:40	2609.0	空头	20120517 14:41	2610.4	1	94	-420	-513.9	307300.6	正常
