模型名称：DUMP
合约名称：沪铝1209
测试时间：2012-05-09 -- 2012-06-11
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：1%
单位：300吨/手
手续费：0元/手
----------------------------------
  测试天数：		33		  测试周期数：	4455
  指令总数：		4455		  平均交易周期：1
  初始资金：		330000		  最终权益：	300943
  总收益率(盈利/初始资金)：	-8.81%	  盈利：	-29056.88
  扣除最大盈利后收益率：	-18.35%
  扣除最大亏损后收益率：	-2.90%

  可靠性(胜率)：	75.15%		  成交额：	42758242304
  期望收益(平均R乘数)：	0.00R		  总手续费：	535

  总交易次数：		4455		
  盈利次数比例：	23.25%		  亏损次数比例：	24.83%
  平均利润率：		-0.00%		  平均每次盈利：	-7
  标准离差率：		-25562.3%		  标准离差：		1635.30
  多头次数：		2227		  空头次数：		2227
  多头盈利次数：	522		  空头盈利次数：	514

  盈利次数：		1036		  亏损次数：	1106
  总盈利：		1953000(591.82%)	  总亏损：	-1981500(-600.45%)
  平均盈利率：		2026(0.61%)	  平均亏损率：	-1906(-0.58%)
  最大盈利额：		31500(11.49%)	  最大亏损额：	-19500(-6.11%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	8		  最大连续亏损次数：	7
  最大连续盈利：	36000(13.13%)	  最大连续亏损：	-19500(-5.26%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型
20120510 09:42	16170	多头	20120510 09:43	16170	1	0	0	-0	296990	正常
20120510 09:43	16170	空头	20120510 09:44	16170	1	0	0	-0	296990	正常
20120510 09:44	16170	多头	20120510 09:45	16165	1	0	-1500	-1500	295490	正常
20120510 09:45	16165	空头	20120510 09:46	16165	1	0	0	-0	295490	正常
20120510 09:46	16165	多头	20120510 09:47	16170	1	0	1500	1500	296990	正常
20120510 09:47	16170	空头	20120510 09:48	16165	1	0	1500	1500	298490	正常
20120510 09:48	16165	多头	20120510 09:49	16165	1	0	0	-0	298490	正常
20120510 09:49	16165	空头	20120510 09:50	16170	1	0	-1500	-1500	296990	正常
20120510 09:50	16170	多头	20120510 09:51	16170	1	0	0	-0	296989	正常
20120510 09:51	16170	空头	20120510 09:52	16170	1	0	0	-0	296989	正常
20120510 09:52	16170	多头	20120510 09:53	16165	1	0	-1500	-1500	295489	正常
20120510 09:53	16165	空头	20120510 09:55	16170	1	0	-1500	-1500	293989	正常
20120510 09:55	16170	多头	20120510 09:56	16165	1	0	-1500	-1500	292489	正常
20120510 09:56	16165	空头	20120510 09:57	16160	1	0	1500	1500	293989	正常
20120510 09:57	16160	多头	20120510 09:58	16165	1	0	1500	1500	295489	正常
20120510 09:58	16165	空头	20120510 09:59	16165	1	0	0	-0	295489	正常
20120510 09:59	16165	多头	20120510 10:00	16165	1	0	0	-0	295488	正常
20120510 10:00	16165	空头	20120510 10:01	16175	1	0	-3000	-3000	292488	正常
20120510 10:01	16175	多头	20120510 10:02	16170	1	0	-1500	-1500	290988	正常
20120510 10:02	16170	空头	20120510 10:03	16175	1	0	-1500	-1500	289488	正常
20120510 10:03	16175	多头	20120510 10:04	16170	1	0	-1500	-1500	287988	正常
20120510 10:04	16170	空头	20120510 10:05	16170	1	0	0	-0	287988	正常
20120510 10:05	16170	多头	20120510 10:06	16170	1	0	0	-0	287988	正常
20120510 10:06	16170	空头	20120510 10:07	16170	1	0	0	-0	287988	正常
20120510 10:07	16170	多头	20120510 10:08	16170	1	0	0	-0	287987	正常
20120510 10:08	16170	空头	20120510 10:09	16170	1	0	0	-0	287987	正常
20120510 10:09	16170	多头	20120510 10:10	16175	1	0	1500	1500	289487	正常
20120510 10:10	16175	空头	20120510 10:11	16180	1	0	-1500	-1500	287987	正常
20120510 10:11	16180	多头	20120510 10:14	16175	1	0	-1500	-1500	286487	正常
20120510 10:14	16175	空头	20120510 10:30	16170	1	0	1500	1500	287987	正常
20120510 10:30	16170	多头	20120510 10:31	16170	1	0	0	-0	287987	正常
20120510 10:31	16170	空头	20120510 10:33	16170	1	0	0	-0	287987	正常
20120510 10:33	16170	多头	20120510 10:34	16170	1	0	0	-0	287986	正常
20120510 10:34	16170	空头	20120510 10:35	16170	1	0	0	-0	287986	正常
20120510 10:35	16170	多头	20120510 10:36	16170	1	0	0	-0	287986	正常
20120510 10:36	16170	空头	20120510 10:37	16170	1	0	0	-0	287986	正常
20120510 10:37	16170	多头	20120510 10:39	16165	1	0	-1500	-1500	286486	正常
20120510 10:39	16165	空头	20120510 10:42	16170	1	0	-1500	-1500	284986	正常
20120510 10:42	16170	多头	20120510 10:45	16170	1	0	0	-0	284986	正常
20120510 10:45	16170	空头	20120510 10:47	16175	1	0	-1500	-1500	283486	正常
20120510 10:47	16175	多头	20120510 10:49	16170	1	0	-1500	-1500	281985	正常
20120510 10:49	16170	空头	20120510 10:51	16170	1	0	0	-0	281985	正常
20120510 10:51	16170	多头	20120510 10:52	16170	1	0	0	-0	281985	正常
20120510 10:52	16170	空头	20120510 10:54	16165	1	0	1500	1500	283485	正常
20120510 10:54	16165	多头	20120510 10:55	16170	1	0	1500	1500	284985	正常
20120510 10:55	16170	空头	20120510 10:56	16170	1	0	0	-0	284985	正常
20120510 10:56	16170	多头	20120510 10:57	16170	1	0	0	-0	284985	正常
20120510 10:57	16170	空头	20120510 10:58	16170	1	0	0	-0	284985	正常
20120510 10:58	16170	多头	20120510 11:01	16165	1	0	-1500	-1500	283484	正常
20120510 11:01	16165	空头	20120510 11:02	16170	1	0	-1500	-1500	281984	正常
20120510 11:02	16170	多头	20120510 11:03	16170	1	0	0	-0	281984	正常
20120510 11:03	16170	空头	20120510 11:04	16165	1	0	1500	1500	283484	正常
20120510 11:04	16165	多头	20120510 11:10	16165	1	0	0	-0	283484	正常
20120510 11:10	16165	空头	20120510 11:11	16165	1	0	0	-0	283484	正常
20120510 11:11	16165	多头	20120510 11:12	16165	1	0	0	-0	283484	正常
20120510 11:12	16165	空头	20120510 11:14	16160	1	0	1500	1500	284984	正常
20120510 11:14	16160	多头	20120510 11:15	16155	1	0	-1500	-1500	283483	正常
20120510 11:15	16155	空头	20120510 11:17	16160	1	0	-1500	-1500	281983	正常
20120510 11:17	16160	多头	20120510 11:19	16155	1	0	-1500	-1500	280483	正常
